City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,dhuusamarreeb,5.535,46.3861,24.06,73,100,5.02,SO,1701211155
262,thompson,55.7435,-97.8558,-11.91,85,100,1.54,CA,1701211155
263,sitka,57.0531,-135.33,5.94,81,40,0.0,US,1701211155
264,piotrkow trybunalski,51.4055,19.7032,-4.34,78,100,3.97,PL,1701211155
265,codrington,-38.2667,141.9667,15.52,84,100,9.56,AU,1701211156
266,sao gabriel da cachoeira,-0.1303,-67.0892,23.23,99,97,0.31,BR,1701211156
267,sao joao da barra,-21.6403,-41.0511,26.05,93,98,5.17,BR,1701211156
268,xining,36.6167,101.7667,-3.6,62,18,0.85,CN,1701211156
269,badger,64.8,-147.5333,-7.02,91,40,4.12,US,1701210869
270,quincy,42.2529,-71.0023,1.67,44,76,1.34,US,1701211125
271,alaghsas,17.0187,8.0168,26.52,19,47,3.67,NE,1701211157
272,tura,25.5198,90.2201,17.59,71,96,1.31,IN,1701211157
273,kasongo-lunda,-6.4667,16.8167,20.24,99,98,0.51,CD,1701211157
274,fort bragg,35.139,-79.006,9.91,38,0,4.12,US,1701211158
275,farmville,37.3021,-78.3919,4.32,32,0,0.0,US,1701211158
276,berryville,36.3648,-93.568,9.56,60,31,2.19,US,1701211158
277,viedma,-40.8135,-62.9967,18.15,74,88,5.82,AR,1701211103
278,livingston,55.9029,-3.5226,1.78,80,0,2.06,GB,1701211158
279,erdenet,49.0333,104.0833,-19.51,99,42,1.78,MN,1701211159
280,saldanha,-33.0117,17.9442,14.03,73,1,7.83,ZA,1701211159
281,wewak,-3.5534,143.6268,27.45,81,87,1.67,PG,1701211159
282,eraan,9.0629,117.7016,26.57,81,60,2.15,PH,1701211159
283,guerrero negro,27.9769,-114.0611,20.34,58,100,5.07,MX,1701211160
284,jutai,-5.1833,-68.9,26.36,83,87,1.5,BR,1701211160
285,chardara,41.2547,67.9692,15.36,38,97,2.91,KZ,1701211160
286,colonia,50.9333,6.95,2.14,85,0,3.09,DE,1701211160
287,manadhoo,5.7667,73.3833,28.11,77,100,5.38,MV,1701211161
288,villa vasquez,19.7411,-71.4464,25.72,79,71,4.79,DO,1701211161
289,azovo,54.6997,73.0237,-5.14,84,99,5.1,RU,1701211161
290,n'dalatando,-9.2978,14.9116,18.12,99,100,0.48,AO,1701211161
291,villa gesell,-37.2639,-56.973,19.1,93,49,9.41,AR,1701211161
292,fallsburg,41.732,-74.6013,-2.53,64,36,6.56,US,1701211162
293,bardai,11.65,7.2333,23.95,29,21,3.5,NG,1701211162
294,christchurch,-43.5333,172.6333,14.39,60,100,5.14,NZ,1701210823
295,ilhabela,-23.7781,-45.3581,23.65,96,100,4.14,BR,1701211162
296,yulinshi,38.2906,109.7494,-6.37,28,0,4.69,CN,1701211155
297,kabo,7.6994,18.629,27.43,55,64,1.52,CF,1701211163
298,santa ana,33.7456,-117.8678,24.78,30,0,3.6,US,1701211163
299,leh,34.1667,77.5833,-2.11,67,48,1.13,IN,1701211163
300,la'ie,21.6477,-157.9253,27.47,83,96,0.89,US,1701211164
301,tupiza,-21.45,-65.7167,19.47,50,51,5.32,BO,1701211164
302,mirny,62.5353,113.9611,-17.65,77,92,4.02,RU,1701211164
303,brookings,44.3114,-96.7984,4.0,56,0,6.17,US,1701210938
304,sumbawa besar,-8.5,117.4333,25.56,83,100,1.39,ID,1701211164
305,aroma,15.8167,36.1333,24.11,71,0,5.01,SD,1701211165
306,askiz,53.1319,90.5264,-12.3,97,99,0.67,RU,1701211165
307,borba,-4.3878,-59.5939,27.22,70,70,1.16,BR,1701211165
308,sinop,41.7711,34.8709,3.95,54,100,8.71,TR,1701211165
309,sinabang,2.4803,96.3801,26.25,84,100,3.28,ID,1701211165
310,wasco,35.5941,-119.341,21.9,17,0,0.0,US,1701211166
311,nizhnesortymskiy,62.4397,71.7603,-2.07,92,100,4.27,RU,1701211166
312,gornopravdinsk,60.05,69.9,-2.08,80,100,3.37,RU,1701211166
313,santyoku,37.4406,129.1708,1.59,55,24,3.9,KR,1701211166
314,crane,31.3974,-102.3501,13.0,44,90,4.79,US,1701211167
315,belgrade,44.804,20.4651,4.81,92,0,3.6,RS,1701211016
316,primero de mayo,-32.2552,-58.4228,28.23,68,4,3.47,AR,1701211167
317,beledweyne,4.7358,45.2036,25.62,61,100,4.46,SO,1701211167
318,san juan del sur,11.2529,-85.8705,31.12,70,20,3.09,NI,1701211167
319,torghay,49.6339,63.4981,6.2,75,100,2.85,KZ,1701211168
